Name	GeneDB IDs	Log2 H/L	Log10 (Int H*L)	Group	Glycosome status 
	Tb927.8.5660 	0.792175182	12.31950867	i	red
	Tb927.1.700 	0.771390889	14.49692611	i	red
	Tb09.160.4810 	0.7615066	10.40004472	i	red
	Tb927.3.2030 	0.747258486	11.35206727	i	red
	Tb927.2.4090 	0.746798146	13.67312752	i	red
	Tb927.10.1070 	0.743831768	15.21415715	i	red
	Tb09.211.1940 	0.741310652	15.3087349	i	red
	Tb927.7.7130 	0.738548796	12.52554982	i	red
	Tb11.01.6880 	0.730194396	14.83293776	i	red
	Tb927.3.1940 	0.727704032	12.46666053	i	red
	Tb09.244.2760 	0.721964867	15.42487393	i	red
	Tb11.01.1540 	0.720099397	15.53631568	i	red
	Tb927.10.13430 	0.718613699	15.32810126	i	red
	Tb927.8.4150 	0.718074104	14.06743134	i	red
	Tb11.01.6800 	0.717829555	14.79818906	i	red
	Tb09.160.4150 	0.698129557	13.45291639	i	red
	Tb927.1.4420 	0.694455467	15.500771	i	red
	Tb927.10.8110 	0.685443433	10.90225692	i	red
	Tb927.10.7990 	0.683944081	12.78974423	i	red
	Tb927.3.2420 	0.683622153	14.24830799	i	red
	Tb927.4.2110 	0.681915498	12.58832186	i	red
	Tb927.7.4310 	0.680240478	12.41514949	i	red
	Tb11.01.0320 	0.680203899	11.25605768	i	red
	Tb09.211.3030 	0.671657451	12.44514805	i	red
	Tb927.8.6900 	0.669661774	10.22569467	i	red
	Tb11.01.8500 	0.668705052	13.68416243	i	red
	Tb927.10.6640 	0.66624675	16.03725723	i	red
	Tb927.5.2380 	0.647473377	14.07794314	i	red
	Tb11.03.0850 	0.642882318	14.77906108	i	red
	Tb11.02.1440 	0.636857595	11.88191904	i	red
	Tb11.01.1510 	0.632302872	15.79833426	i	red
	Tb927.5.1930 	0.631465547	13.6201325	i	red
	Tb09.211.1240 	0.627175334	16.69824929	i	red
	Tb927.10.8160 	0.625933349	12.45121114	i	red
	Tb11.02.0280 	0.625457537	12.08163296	i	red
	Tb11.02.5230 	0.624599071	10.82913068	i	red
	Tb927.8.6680 	0.620680241	12.38534865	i	red
	Tb927.10.15220 	0.619953956	12.95530137	i	red
	Tb927.8.2470 	0.615659639	13.22352005	i	red
